Date,All Items,All Items Less Food and Energy,Gasoline
2014-01-01,235.288,235.961,308.400
2014-02-01,235.547,236.185,305.007
2014-03-01,236.028,236.625,300.141
2014-04-01,236.468,237.072,305.367
2014-05-01,236.918,237.529,301.296
2014-06-01,237.231,237.837,302.293
2014-07-01,237.498,238.195,299.785
2014-08-01,237.460,238.405,294.803
2014-09-01,237.477,238.786,287.003
2014-10-01,237.430,239.191,278.463
2014-11-01,236.983,239.458,262.282
2014-12-01,236.252,239.584,238.491
2015-01-01,234.747,239.811,199.553
2015-02-01,235.342,240.172,206.901
2015-03-01,235.976,240.755,214.684
2015-04-01,236.222,241.346,211.577
2015-05-01,237.001,241.688,225.281
2015-06-01,237.657,242.064,230.871
2015-07-01,238.034,242.565,231.775
2015-08-01,238.033,242.817,225.725
2015-09-01,237.498,243.316,201.935
2015-10-01,237.733,243.768,199.315
2015-11-01,238.017,244.241,198.984
2015-12-01,237.761,244.547,190.765
2016-01-01,237.652,244.955,181.445
2016-02-01,237.336,245.510,162.727
2016-03-01,238.080,245.913,175.164
2016-04-01,238.992,246.551,184.762
2016-05-01,239.557,247.137,187.627
2016-06-01,240.222,247.540,196.440
2016-07-01,240.101,247.829,185.486
2016-08-01,240.545,248.423,183.715
2016-09-01,241.176,248.842,189.766
2016-10-01,241.741,249.142,197.788
2016-11-01,242.026,249.481,199.220
2016-12-01,242.637,249.920,206.244
2017-01-01,243.618,250.467,217.892
2017-02-01,244.006,250.998,213.626
2017-03-01,243.892,250.944,210.690
2017-04-01,244.193,251.227,209.074
2017-05-01,244.004,251.430,197.848
2017-06-01,244.163,251.746,195.797
2017-07-01,244.243,251.985,191.889
2017-08-01,245.183,252.535,203.585
2017-09-01,246.435,252.812,228.252
2017-10-01,246.626,253.526,218.990
2017-11-01,247.284,253.816,228.908
2017-12-01,247.805,254.344,228.888
2018-01-01,248.859,255.204,235.325
2018-02-01,249.529,255.711,239.767
2018-03-01,249.577,256.271,231.325
2018-04-01,250.227,256.630,238.803
2018-05-01,250.792,257.145,242.344
2018-06-01,251.018,257.399,243.105
2018-07-01,251.214,257.699,241.377
2018-08-01,251.663,257.891,246.229
2018-09-01,252.182,258.368,250.369
2018-10-01,252.772,258.917,253.471
2018-11-01,252.594,259.439,238.309
2018-12-01,252.767,260.063,225.063
2019-01-01,252.561,260.766,208.730
2019-02-01,253.319,261.186,217.237
2019-03-01,254.277,261.567,230.013
2019-04-01,255.233,261.997,245.651
2019-05-01,255.296,262.217,242.557
2019-06-01,255.213,262.739,231.691
2019-07-01,255.802,263.280,235.098
2019-08-01,256.036,263.877,229.734
2019-09-01,256.430,264.388,228.230
2019-10-01,257.155,264.970,232.348
2019-11-01,257.879,265.548,236.924
2019-12-01,258.630,266.020,244.197
2020-01-01,258.906,266.698,236.879
2020-02-01,259.246,267.402,229.731
2020-03-01,258.150,267.068,206.071
2020-04-01,256.126,265.796,166.640
2020-05-01,255.848,265.461,160.740
2020-06-01,257.004,265.839,177.312
2020-07-01,258.408,267.373,186.943
2020-08-01,259.366,268.390,190.490
2020-09-01,259.951,268.900,192.669
2020-10-01,260.249,269.280,190.486
2020-11-01,260.895,269.967,191.456
2020-12-01,262.005,270.340,207.640
2021-01-01,262.518,270.422,217.944
2021-02-01,263.583,270.813,233.448
2021-03-01,264.910,271.461,251.459
2021-04-01,266.752,273.665,249.270
2021-05-01,268.452,275.494,251.062
2021-06-01,270.664,277.585,257.683
2021-07-01,271.994,278.612,263.835
2021-08-01,272.789,278.993,270.649
2021-09-01,273.887,279.710,273.321
2021-10-01,276.434,281.623,284.966
2021-11-01,278.799,283.393,302.783
2021-12-01,280.808,285.221,312.089
2022-01-01,282.390,286.811,307.114
2022-02-01,284.535,288.287,322.941
2022-03-01,287.553,289.041,370.978
2022-04-01,288.764,290.515,358.023
2022-05-01,291.359,292.072,373.180
2022-06-01,294.996,293.972,411.984
2022-07-01,294.977,295.055,378.082
2022-08-01,295.209,296.569,339.037
2022-09-01,296.341,298.284,322.713
2022-10-01,297.863,299.351,335.141
2022-11-01,298.648,300.292,333.999
2022-12-01,298.812,301.423,308.222
2023-01-01,300.356,302.709,313.215
2023-02-01,301.509,304.124,316.804
2023-03-01,301.744,305.112,305.708
2023-04-01,303.032,306.539,314.286
2023-05-01,303.365,307.646,300.042
2023-06-01,304.003,308.245,302.412
2023-07-01,304.628,308.945,301.784
2023-08-01,306.187,309.656,326.825
2023-09-01,307.288,310.644,332.019
2023-10-01,307.531,311.390,317.678
2023-11-01,308.024,312.349,304.982
2023-12-01,308.742,313.209,303.242
2024-01-01,309.685,314.438,293.287
2024-02-01,311.054,315.565,304.302
2024-03-01,312.230,316.698,309.587
2024-04-01,313.207,317.622,318.186
2024-05-01,313.225,318.140,306.599
2024-06-01,313.049,318.346,294.968
